source,target
12,34730
12,98441
12,46114
25,10970082
290,5195436
303,22949
305,22537
307,54631
308,26833
316,34982
316,41881
316,62695
316,92576
339,18951386
358,5187
569,189208
573,38677
573,19722
586,3364
593,176847
594,78995
594,82593
594,30059
600,53939
612,18837
624,34662
624,57931
627,54716
628,37397201
649,2165
661,5323
664,20908
668,46426065
670,20073
674,53238
674,66723
678,56095
689,19653787
690,21332
691,31737
698,9228
698,22309
700,25964
706,30942
713,20756967
717,48130
728,37807
736,172464
736,186974
737,23235
738,13904
746,67639
752,7885
765,3434750
771,173016
775,1786
783,65151
784,19283852
788,62159
791,34551
791,20223
798,22472
800,188004
801,153797
803,173094
817,737
822,34649
840,20646438
842,25816
844,26049
849,75127
852,30010
857,35530
857,36980
857,27529
863,16779
864,57187
872,21554680
877,23714788
888,2537
896,72325
896,37461
897,11887
897,70651
898,19053
899,105374
900,5659
901,23053
903,143338
904,155650
904,37461
915,15855
924,13459
930,23712727
944,945
956,61889
967,8072
981,79282
983,4764461
984,34631
986,23713433
1000,43910
1004,13316
1005,15924
1008,11867
1009,34670
1010,34792
1010,63436
1011,34769
1011,19345
1012,34651
1012,4689264
1012,150017
1013,34646
1013,5823
1013,85679
1017,49728
1019,21504235
1020,34602
1023,5416
1027,34658
1027,27318
1029,9906294
1036,18075
1058,914
1070,14338129
1078,26173
1082,36870
1087,32293
1098,31769
1129,34636
1130,308
1136,18723138
1143,8569916
1148,172537
1154,34753
1154,22576
1160,53741
1164,40379651
1167,13470
1171,34605
1174,78938
1175,34614
1175,30075
1177,4764461
1181,30027
1187,12240
1197,22326
1203,43507
1207,43971
1208,8302
1212,18622193
1216,98387
1239,2784
1252,7355
1254,35515
1254,34703
1254,23534170
1254,21445
1256,6047
1259,34624
1259,16010
1261,34980
1271,34922
1274,7955
1277,22936
1291,18959138
1292,128294
1301,17730
1307,13588
1315,46206
1325,104933
1332,771
1333,35800
1333,5048
1334,34922
1334,23385442
1348,6606
1356,31744
1361,18836
1365,1412
1365,37400
1366,34340
1370,11064
1372,1187
1372,24261
1376,29970
1387,19011
1397,34598
1408,1520
1416,34551
1417,39546
1417,18933277
1417,3632593
1423,26700
1433,167926
1436,7515964
1442,35530
1442,2963
1442,25473
1448,34949
1448,4887
1451,14563
1461,188887
1485,36277
1490,34775
1490,181535
1491,34608
1491,12578
1494,2537522
1496,34705
1496,42368
1497,34677
1497,74130
1497,19468510
1499,1005
1499,30108
1508,28395
1514,11788
1519,34616
1519,7345
1519,26709
1523,19053
1528,34894
1530,28288
1540,13207
1541,34600
1541,48586
1544,82813
1548,26748
1551,13815
1556,25845
1561,13617
1568,83176
1570,1629
1572,20189
1575,64716
1577,27784
1583,42458
1589,17675
1594,1629
1600,2544633
1602,1585
1613,26773183
1620,104944
1623,16168
1624,38275275
1625,12980
1627,34797
1627,17867
1628,34622
1628,9239
1628,26667
1629,19283920
1629,42898
1629,182870
1629,33057
1635,145486
1639,17895
1640,64946
1641,34653
1644,16972981
1649,26667
1653,17846
1657,40010
1661,88446
1676,22366
1683,42500
1687,188740
1695,83197
1695,30058
1701,14966
1710,34553
1711,19283920
1711,43496
1715,21021
1719,20807
1724,5211
1730,1216
1737,83734
1749,25458
